"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccpg1",24.6402319431431,0.361994259247516,0.629970444750296,0.57462101954799,0.565547633154435,0.927921495844458
"Inhbe",23.0956398313158,0.604747190848618,1.05231361552263,0.5746834232001,0.565505420507753,0.927921495844458
"RP24-170C14.1",2.88757156147781,-1.14057136145565,1.98471577717749,-0.574677429670904,0.565509474735688,0.927921495844458
"RP23-443G7.2",5.43715854242498,-0.654091704089804,1.13815432698576,-0.574695090622791,0.565497528304445,0.927921495844458
"Eid3",13.9606865959392,0.714214352939969,1.24328988992576,0.574455208497363,0.565659802586578,0.927921495844458
"Rnase10",6.2164720798667,-1.13113934959256,1.96924120652617,-0.57440365651699,0.5656946791367,0.927921495844458
"Ccl27",12.4817631697469,0.477476437999494,0.831375516010523,0.574321024379855,0.565750584553238,0.927947067958518
"Creb3l1",87.9610584282453,0.314748941434527,0.54812558491299,0.574227786656758,0.565813668447455,0.92798440976593
"Bbs2",665.220916969624,-0.219540826080181,0.3825115502442,-0.57394561272731,0.56600460563781,0.928165289823701
"Hmgxb4",427.511102873033,0.162270512265274,0.282710170225274,0.573981870323135,0.565980069664025,0.928165289823701
"RP24-288B1.2",711.158047367093,-0.1513697862918,0.263777793282256,-0.573853410509907,0.566067002344875,0.928201481297428
"RP23-234K24.8",435.053713147468,-0.219154266993147,0.381947085376504,-0.573781749838766,0.566115500095452,0.92820752251105
"RP23-435E15.3",3.116478071794,0.91305611477381,1.59144202853253,0.573728793386048,0.566151340684391,0.92820752251105
"Dock9",1071.98842310977,-0.169399707523691,0.295447334960795,-0.573366849107539,0.566396331412474,0.928410793342895
"Stk38l",736.577253265747,-0.183837365510538,0.320620434047918,-0.573380065610735,0.56638738460844,0.928410793342895
"AC131692.3",25.8746999280272,-0.271592159260056,0.473635184146317,-0.573420574211722,0.566359963063791,0.928410793342895
"Ppp2r2d",2283.4145411139,0.131971569080567,0.230351962937827,0.572912717553816,0.566703793245082,0.928581196709225
"Dhx16",1110.59871796689,0.195707176672209,0.34170536408082,0.572736624134235,0.566823035745954,0.928581196709225
"Fndc3a",571.229098380199,0.201048120979168,0.350963920931257,0.572845551889498,0.566749273376799,0.928581196709225
"Psmg4",648.974153330525,-0.166590852467671,0.290856599017692,-0.572759404566709,0.56680760918986,0.928581196709225
"Scrib",331.262389119821,0.181324475893736,0.316535224658632,0.572841383101316,0.566752096261253,0.928581196709225
"Map3k15",26.7794527370322,0.416226990261075,0.726268792459737,0.573103229248488,0.566574800887432,0.928581196709225
"RP24-357P7.3",12.9080265873794,-0.535110797346793,0.933971683356827,-0.57294113609904,0.566684550618581,0.928581196709225
"RP23-333P16.2",12.4937433773843,0.681476855969425,1.18985278127278,0.572740482432164,0.566820422952187,0.928581196709225
"Atp6v1d",14235.3802316353,0.169215772958737,0.296311196953832,0.571074514558769,0.567949133345329,0.928712974724509
"Tspyl1",5721.25753066736,-0.177198654401117,0.310287781832516,-0.571078414221166,0.567946490028594,0.928712974724509
"Csnk1d",3174.17467972188,-0.190304829874592,0.333204063545313,-0.571135981505556,0.567907469754542,0.928712974724509
"Ankrd17",3341.72620205568,-0.111728845392944,0.19556504114673,-0.571312974639039,0.56778750825163,0.928712974724509
"Tsc2",1491.39999042006,-0.188380304707109,0.329442625460759,-0.571815211961841,0.567447170454125,0.928712974724509
"Daglb",1546.84297396528,0.166262138753384,0.291114506300773,0.57112282333882,0.567916388513981,0.928712974724509
"Vars",1908.83391193679,-0.211207871504716,0.369613807376071,-0.571428521580684,0.56770919997906,0.928712974724509
"Smap1",1438.06540575464,0.11768524969923,0.206051187197975,0.571145700733854,0.567900881990869,0.928712974724509
"D2Wsu81e",1782.53895196441,0.156001854664471,0.273203391320773,0.57100994943839,0.567992898518352,0.928712974724509
"Ing1",1296.430821934,0.149533672028118,0.26139874907523,0.572051980191698,0.567286759921796,0.928712974724509
"Naa40",730.52124256904,-0.227797496934705,0.398843996639988,-0.571144354318371,0.5679017945989,0.928712974724509
"Map3k5",1340.84893850608,-0.124014332569574,0.217182988442402,-0.571013104935075,0.567990759541781,0.928712974724509
"Qpct",622.020140380935,0.199483433608878,0.348835765672346,0.571854876246402,0.567420296377223,0.928712974724509
"AC074312.5",229.760642551001,0.264155173763398,0.462229758629541,0.57148024079321,0.567674150599195,0.928712974724509
"Nppc",207.273240259101,-0.255811088091322,0.447865685493206,-0.571178137502573,0.567878896377652,0.928712974724509
"Tnfrsf11a",455.016244233352,0.22969692073203,0.40181361219709,0.571650421388323,0.567558828926202,0.928712974724509
"Ciita",28.3388200455426,0.648737735676614,1.13471263493565,0.571719848447274,0.567511785393985,0.928712974724509
"RP23-123L9.5",19.9132136409734,-0.343622734765325,0.601030668915332,-0.571722463656396,0.567510013373926,0.928712974724509
"RP23-350M23.6",9.23247627935405,0.539754060633992,0.942974417447076,0.572395232200757,0.567054245183395,0.928712974724509
"Jph2",18.4168488505065,0.523543977964992,0.914720492771298,0.572354049244954,0.567082139605919,0.928712974724509
"RP23-205I1.6",8.7955383259975,0.45776291593987,0.801519067529787,0.571119184164459,0.567918855200794,0.928712974724509
"Gm22613",13.6842069688821,0.526486741967949,0.920930028966343,0.571690275491267,0.567531823697218,0.928712974724509
"RP23-383K24.3",12.7530912185486,0.577762552322634,1.01037990442194,0.571827042277907,0.567439154896618,0.928712974724509
"RP23-138D5.1",5.4020676983869,-0.563725265604869,0.985172897061887,-0.572209474383721,0.567180069600612,0.928712974724509
"RP23-385D8.1",4.34509115136894,1.08507222358384,1.89772167175917,0.571776272427764,0.56747355407765,0.928712974724509
"Esp16",5.09297961728809,-0.886454479870755,1.54868571778381,-0.572391460508387,0.567056799833786,0.928712974724509
"RP23-188D9.4",3.72714528522241,-0.607235005363406,1.06162136261639,-0.571988306515292,0.56732989671739,0.928712974724509
"Uba1",10124.4391730377,-0.170775006097049,0.299944090819914,-0.5693561277711,0.569114483664121,0.928787782315194
"Ewsr1",6548.88751960061,-0.136179761226594,0.239313703725422,-0.569042888504374,0.569327034658581,0.928787782315194
"Peg13",5463.5270237031,-0.193283319875,0.33915817936002,-0.569891371158198,0.568751377736284,0.928787782315194
"Homer2",2248.64966063572,-0.173438962899155,0.304328639998882,-0.569906805024304,0.568740909135717,0.928787782315194
"Aldh1a1",5661.65445167667,0.222094468236603,0.390083337021672,0.569351333826043,0.569117736348074,0.928787782315194
"Tmem63b",2939.86628454075,0.128803299110446,0.226961993208727,0.567510433308504,0.570367440169879,0.928787782315194
"Slc44a1",3565.43123996864,-0.17532102854214,0.307930202696656,-0.569353142390032,0.569116509239295,0.928787782315194
"Unc13a",1581.91541858843,-0.1507876233318,0.26477498638703,-0.569493460803692,0.569021307194357,0.928787782315194
"Caml",2119.64984612327,0.144772812763379,0.254461895204179,0.568937100178453,0.569398826727739,0.928787782315194
"Etfa",3405.85149107344,0.158177863048112,0.277245954515473,0.57053262805782,0.568316498693606,0.928787782315194
"Tmcc2",3900.84804588549,-0.121402036131047,0.213921919651098,-0.567506295423354,0.570370250664809,0.928787782315194
"Cntn4",2754.27313204189,-0.228390043669159,0.400434208666321,-0.570355975404376,0.568436282761829,0.928787782315194
"Gtpbp4",1557.64386150003,-0.128484231598568,0.226402511730343,-0.56750356087745,0.570372108000648,0.928787782315194
